TID: 1 | ГЛОНАСС: Маршрут за 72 часа проверен. Заявка СОГЛАСОВАНА (Въезд разрешен).
TID: 6 | Передано в Биобез
TID: 6 | Заявка создана
TID: 5 | Въезд запрещен
TID: 5 | Передано в Биобез
TID: 5 | Заявка создана
TID: 4 | Заявка согласована
TID: 4 | Заявка создана
TID: 3 | Неправильное заполнение формы
TID: 3 | Заявка создана
